Name,Model,Price,Date,vram,vram_type,feature,Brand,provider
Gigabyte GeForce GT 710 2GB GDDR3,GV-N710D3-2GL,3800.0,2022-07-19, 2GB,GDDR3,0,NVIDEA,Gigabyte
Asus GeForce GT 730 2GB GDDR5,GT730-SL-2GD5-BRK,4395.0,2022-07-19, 2GB,GDDR5,0,NVIDEA,Asus
Zotac GeForce GT 730 Zone Edition 4GB GDDR3,ZT-71115-20L,7789.0,2022-07-19, 4GB,GDDR3,0,NVIDEA,Zotac
Nvidia Quadro RTX Nvlink Bridge 2-Slot,900-54934-2500-000,7999.0,2022-07-19,,,0,NVIDEA,Nvidia
Nvidia Quadro T400 4GB GDDR6,T400 4GB,10800.0,2022-07-19, 4GB,GDDR6,0,NVIDEA,Nvidia
Nvidia Quadro T600 4GB GDDR6,T600,13800.0,2022-07-19, 4GB,GDDR6,0,NVIDEA,Nvidia
Zotac Gaming GeForce GTX 1630 4GB GDDR6,ZT-T16300F-10L,16400.0,2022-07-19, 4GB,GDDR6,0,NVIDEA,Zotac
Inno3d GeForce GTX 1050 Ti X2 4GB GDDR5,N105T-1DDV-M5CM,16989.0,2022-07-19, 4GB,GDDR5,0,NVIDEA,Inno3d
MSI GeForce GTX 1050 Ti  OCV1 4GB GDDR5,GeForce GTX 1050 TI 4GT OCV1,18290.0,2022-07-19, 4GB,GDDR5,1,NVIDEA,MSI
Asus Dual GeForce GTX 1650 OC 4GB GDDR5,DUAL-GTX1650-O4G,21350.0,2022-07-19, 4GB,GDDR5,1,NVIDEA,Asus
Nvidia Quadro T1000 4GB GDDR6,T1000,22500.0,2022-07-19, 4GB,GDDR6,0,NVIDEA,Nvidia
Gigabyte GeForce GTX 1660 Ti OC 6GB GDDR6,GV-N166TOC-6GD,23499.0,2022-07-19, 6GB,GDDR6,1,NVIDEA,Gigabyte
Gigabyte GeForce GTX 1660 Super OC 6GB GDDR6,GV-N166SOC-6GD,24500.0,2022-07-19, 6GB,GDDR6,1,NVIDEA,Gigabyte
Zotac Gaming GeForce RTX 2060 6GB GDDR6,ZT-T20600H-10M,35700.0,2022-07-19, 6GB,GDDR6,0,NVIDEA,Zotac
Gigabyte GeForce RTX 2060 Windforce OC 12GB GDDR6,GV-N2060WF2OC-12GD,28500.0,2022-07-19,12GB,GDDR6,1,NVIDEA,Gigabyte
Nvidia Quadro T1000 8GB GDDR6,T1000 8GB,28500.0,2022-07-19, 8GB,GDDR6,0,NVIDEA,Nvidia
Asus Dual GeForce RTX 2060 Evo OC Edition 12GB GDDR6,DUAL-RTX2060-O12G-EVO,28990.0,2022-07-19,12GB,GDDR6,1,NVIDEA,Asus
MSI GeForce RTX 3050 Ventus 2X 8G OC GDDR6,GeForce RTX 3050 VENTUS 2X 8G OC,29999.0,2022-07-19,,GDDR6,1,NVIDEA,MSI
Inno3d GeForce RTX 3050 Twin X2 OC 8GB GDDR6,N30502-08D6X-11902130,30690.0,2022-07-19, 8GB,GDDR6,1,NVIDEA,Inno3d
Gigabyte GeForce RTX 3050 Eagle OC 8GB GDDR6,GV-N3050EAGLE OC-8GD,31227.0,2022-07-19, 8GB,GDDR6,1,NVIDEA,Gigabyte
Zotac Gaming GeForce RTX 3050 Twin Edge OC 8GB GDDR6,ZT-A30500H-10M,31500.0,2022-07-19, 8GB,GDDR6,1,NVIDEA,Zotac
Sapphire Nitro+ AMD Radeon RX 6600 XT 8GB GDDR6,11309-01-20G,39950.0,2022-07-19, 8GB,GDDR6,0,AMD,Sapphire
MSI GeForce RTX 3050 Gaming X 8GB GDDR6,GeForce RTX 3050 GAMING X 8G,31800.0,2022-07-19, 8GB,GDDR6,0,NVIDEA,MSI
Zotac Gaming GeForce RTX 3050 AMP 8GB GDDR6,ZT-A30500F-10M,32000.0,2022-07-19, 8GB,GDDR6,0,NVIDEA,Zotac
Gigabyte GeForce RTX 3050 Gaming OC 8GB GDDR6,GV-N3050GAMING OC-8GD,32819.0,2022-07-19, 8GB,GDDR6,1,NVIDEA,Gigabyte
